['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-16T23_28_44.694Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-19T15_44_59.476Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-14T00_11_34.806Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-29T10_50_48.441Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-29T14_12_38.786Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-12T04_17_49.725Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-23T08_15_18.771Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-14T23_18_53.255Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-09T07_28_18.940Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-15T02_39_36.808Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-06T02_29_35.361Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-16T22_03_10.577Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-10T21_34_48.804Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-11-01T11_03_16.894Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-22T00_20_08.050Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-17T23_59_42.197Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-17T19_02_42.724Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-29T14_02_34.829Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-20T10_13_42.574Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-10T15_00_35.791Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-17T22_19_01.733Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-16T07_42_24.292Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-28T13_16_29.730Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-17T17_59_23.507Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-26T17_21_31.450Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-31T14_53_59.671Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-17T16_53_57.335Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-24T22_52_02.859Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-09T03_31_43.476Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-01T04_41_33.153Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-09T05_22_28.187Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-11-01T06_41_31.829Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-29T01_41_01.661Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
