['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-08-28T10_24_23.128Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-09-21T15_48_22.706Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-12-06T10_07_08.709Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-10-01T00_55_20.225Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-08-16T18_26_20.555Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-06-03T03_08_29.570Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-05-28T09_00_00.997Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-05-28T01_29_50.320Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-11-18T12_44_25.223Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-11-13T21_07_59.038Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-12-07T02_21_30.616Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-10-27T12_21_22.148Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-11-19T06_59_49.940Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000027dd31af', 'conf_20240314_TABMON', '2024-09-26T15_18_30.116Z.mp3', 'Norway', 'site_name', 58.104654, 6.605581]
