['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-09-29T10_59_15.014Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-06-19T08_37_12.969Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-07-18T15_15_51.325Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-08-08T01_33_24.128Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-06-05T00_55_36.702Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-09-19T00_20_32.617Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-10-05T19_11_44.896Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-08-06T15_55_44.581Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-08-15T11_32_51.557Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-05-25T10_21_26.552Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000018bff2d2', 'conf_20240314_TABMON', '2024-07-28T08_13_07.980Z.mp3', 'Norway', 'site_name', 58.109723, 6.56868]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-29T21_25_53.266Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-12T21_59_53.055Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-28T08_12_14.143Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-05-31T14_33_08.815Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-12T02_05_19.808Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-13T06_10_21.740Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-05-28T17_47_37.167Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-18T09_53_08.111Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-29T16_52_04.014Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-03T02_02_35.749Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-27T07_14_09.936Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-11T15_12_02.495Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-09T20_09_40.641Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-25T19_57_13.337Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-04T20_48_51.821Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-14T03_37_13.962Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-05T09_46_13.801Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-04T08_43_03.263Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-30T00_30_43.668Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-01T05_24_19.403Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-12T08_49_48.778Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-03T10_55_40.270Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-05-31T16_54_16.129Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-13T03_33_11.194Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-21T18_41_00.165Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-08T17_31_38.889Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
